taxonID,scientificName,scientificNameAuthorship,taxonRank,parentNameUsageID,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,created,modified
wfo-0001302358,Asplenium rhizophorum,L.,species,NA,NA,"Gen. Pl., ed. 6. 2, emendat. (1764)",synonym,wfo-0001109346,2022-04-16,2025-03-19
wfo-0001315027,Leucotrichum madagascariense,Rakotondr. & Rouhan,species,wfo-4000021620,valid,"Syst. Bot. 37(2): 335, f.1-5 (2012)",accepted,NA,2022-04-16,2025-03-19
wfo-0001315047,Pyrrosia avaratra,Rakotondr. & Hovenkamp,species,wfo-4000032323,valid,Novon 22(1): 75 (2012),accepted,NA,2022-04-16,2024-12-16
wfo-0001315106,Arthropteris paucivenia,"(C.Chr.) Hong M.Liu, Hovenkamp & H.Schneid.",species,wfo-4000003177,valid,Taxon 62(4): 697 (2013),accepted,NA,2022-04-16,2025-03-19
wfo-0001315115,Christella darainensis,Rakotondr.,species,wfo-4000008133,valid,Adansonia 34(2): 224 (2012),accepted,NA,2022-04-16,2025-03-19
wfo-0001315116,Pronephrium marojejyensis,Rakotondr.,species,wfo-4000031222,valid,Adansonia 34(2): 230 (2012),accepted,NA,2022-04-16,2025-03-19
wfo-0001315117,Pronephrium fideleae,Rakotondr.,species,wfo-4000031222,valid,Adansonia 34(2): 226 (2012),accepted,NA,2022-04-16,2025-03-19
wfo-0001315118,Pseudophegopteris andringitrensis,Rakotondr.,species,wfo-4000031624,valid,Adansonia 34(2): 232 (2012),accepted,NA,2022-04-16,2025-03-19
wfo-0000006683,Allittia cardiocarpa,(Benth.) P.S.Short,species,NA,valid,Muelleria 20: 55 (2004),unchecked,NA,2022-04-16,2024-06-04
wfo-0000017384,Allittia uliginosa,(G.L.Davis) P.S.Short,species,NA,valid,Muelleria 20: 57 (2004),unchecked,NA,2022-04-16,2024-06-04
wfo-0000019676,Wibelia setosa,Roehl.,species,NA,NA,Deutschl. Fl. ed. II. 2: 582. 1813,unchecked,NA,2022-04-16,2024-06-04
wfo-0000026665,Hymenolepis crithmifolia,"(L.) Greuter, M.V.Agab. & Wagenitz",species,NA,valid,Taxon 54(1): 155 (2005),unchecked,NA,2022-04-16,2024-06-04
wfo-0000054505,Odontoloma acuminatum,Kunth,species,NA,NA,"Nov. Gen. & Sp., ed. fol. 4: 34. 1818.",unchecked,NA,2022-04-16,2024-06-04
wfo-0000060700,Wibelia hieracioides,Roehl.,species,NA,NA,Deutschl. Fl. ed. II. 2: 427. 1813,unchecked,NA,2022-04-16,2024-06-04
wfo-0000062156,Odontoloma schlechtendalii,(C.Presl) E.Fourn.,species,NA,NA,Mexic. Pl. 1: 132 (1872),synonym,wfo-0001113068,2022-04-16,2025-05-22
wfo-0000068439,Kaulfussia assamica,Griff.,species,NA,NA,"Asiat. Res. 19: 108, t.18 (1836)",synonym,wfo-0001117730,2022-04-16,2025-03-19
wfo-0000069030,Hymenolepis mucronata,Fée,species,NA,valid,"Mém. Foug., 5. Gen. Filic. 82 (1852)",synonym,wfo-0000148429,2022-04-16,2025-03-19
wfo-0000070384,Odontoloma goudotianum,(Kunze) Mett.,species,NA,NA,Fil. Hort. Bot. Lips. 104 (1856),synonym,wfo-0001107680,2022-04-16,2025-05-22
wfo-0000074311,Kaulfussia aesculifolia,(Blume) Blume,species,NA,NA,Enum. Pl. Javae 2: 260 (1828),synonym,wfo-0001117730,2022-04-16,2025-03-19
wfo-0000077011,Abrotanum mas,Garsault,species,NA,NA,Fig. Pl. Med. 2: t. 119 (1764),synonym,wfo-0001425773,2022-04-16,2025-03-19
wfo-0000077911,Wibelia apargioides,Roehl.,species,NA,NA,Deutschl. Fl. ed. II. 2: 426. 1813,unchecked,NA,2022-04-16,2024-06-04
