taxonID,acceptedNameUsageID,scientificName,namePublishedIn,taxonRank,vernacularName,taxonomicStatus,taxonRemarks,parentNameUsageID,genus,tribe,subfamily,family,order,acceptedNameUsage,parentNameUsage,modified
cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,Lycopodiales DC. ex Bercht. & J. Presl,Prir. Rostlin: 272 (1820),order,NA,accepted,"1 family, 17 genera, ca. 460 spp.",NA,NA,NA,NA,NA,Lycopodiales,NA,NA,NA
381868bcdfc92b558798691c5180df85,NA,Lycopodiaceae P. Beauv. ex Mirb.,Hist. Nat. Veg. (Lam. & Mirb.) 4: 293 (1802),family,Bärlappgew.,accepted,"17 genera, ca. 470 spp. Phylogeny: Chen et al. (2021).",cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,Lycopodiaceae,Lycopodiales,NA,Lycopodiales DC. ex Bercht. & J. Presl,NA
885b8639f980af103b6317dc7c91e854,381868bcdfc92b558798691c5180df85,Huperziaceae Rothm.,"Repert. Spec. Nov. Regni Veg. 66: 236 (1962), nom. nov.",family,NA,synonym,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,Lycopodiaceae,Lycopodiales,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,NA
2fce52f52b90ffa4d655be61dc2b2a08,381868bcdfc92b558798691c5180df85,Lycopodiellaceae Val. N. Tikhom.,Novosti Sist. Vyssh. Rast. 49: 149 (2018),family,NA,synonym,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,Lycopodiaceae,Lycopodiales,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,NA
265cb6e77d9f71f77ab130b9200ecc3f,381868bcdfc92b558798691c5180df85,Phylloglossaceae Kunze,Bot. Zeitung (Berlin) 1: 722 (1843),family,NA,synonym,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,Lycopodiaceae,Lycopodiales,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,NA
276165f17ad3b1fbee423ec1581e64ef,381868bcdfc92b558798691c5180df85,Urostachyaceae Rothm.,Repert. Spec. Nov. Regni Veg. 54: 58 (1944) (nom. illeg.),family,NA,synonym,NA,cfd651cb3bc3d61924cb23e7f8bbe7ba,NA,NA,NA,Lycopodiaceae,Lycopodiales,Lycopodiaceae P. Beauv. ex Mirb.,Lycopodiales DC. ex Bercht. & J. Presl,NA
8b6c9d344a98e44f2e64a932aff0a1e1,NA,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,Nordic J. Bot. 33(2): 195 (2014),subfamily,NA,accepted,NA,381868bcdfc92b558798691c5180df85,NA,NA,Huperzioideae,Lycopodiaceae,Lycopodiales,NA,Lycopodiaceae P. Beauv. ex Mirb.,NA
0c2172c952d887939a98bd70225c8263,NA,Huperzia Bernh.,J. Bot. (Schrader) 1800(2): 126 (1801) ex Schrank & Mart. (1829),genus,"Tannen-Teufelsklaue, Tannenbärlapp (DE)",accepted,"Distribution: Probably only 25 spp. temperate, alpine and arctic, tropical Asian mountains. Many remaining species still need transfer into other split genera.",8b6c9d344a98e44f2e64a932aff0a1e1,Huperzia,NA,Huperzioideae,Lycopodiaceae,Lycopodiales,NA,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,NA
f6171bb4836b2bad401255c92857a95d,0c2172c952d887939a98bd70225c8263,Mirmau Adans.,"Fam. Pl. 2: 491 (1763) (p. p., nom. illegit.)",genus,NA,ambiguous synonym,NA,8b6c9d344a98e44f2e64a932aff0a1e1,Huperzia,NA,Huperzioideae,Lycopodiaceae,Lycopodiales,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,NA
c53766ce1081008b8768b812c644bb1b,0c2172c952d887939a98bd70225c8263,Plananthus P. Beauv. ex Mirb.,"Hist. Nat. Veg. (Lam. & Mirb.) 3: 476, 4: 310 (1802) (nom. superfl.)",genus,NA,synonym,NA,8b6c9d344a98e44f2e64a932aff0a1e1,Huperzia,NA,Huperzioideae,Lycopodiaceae,Lycopodiales,Huperzia Bernh.,Huperzioideae W. H. Wagner & Beitel ex B. Øllg.,NA
